,0,Cluster
460,720575940607283804,9
461,720575940607311625,1
462,720575940607321218,4
463,720575940607339989,9
464,720575940607348931,0
465,720575940607350793,9
466,720575940607351218,12
467,720575940607369737,10
468,720575940607380658,11
469,720575940607416587,1
470,720575940607417180,4
471,720575940607461899,6
472,720575940607469404,9
473,720575940607480073,6
474,720575940607480329,2
475,720575940607484099,0
476,720575940607497429,11
477,720575940607507157,0
478,720575940607512533,7
479,720575940607536732,13
480,720575940607553219,4
481,720575940607561540,9
482,720575940607562507,19
483,720575940607564356,0
484,720575940607567881,1
485,720575940607569417,1
486,720575940607570185,12
487,720575940607573001,4
488,720575940607590236,1
489,720575940607596811,0
490,720575940607597660,6
491,720575940607607747,28
492,720575940607614475,14
493,720575940607619273,12
494,720575940607625225,6
495,720575940607627275,8
496,720575940607641010,2
497,720575940607648267,4
498,720575940607667723,9
499,720575940607673730,13
500,720575940607689394,6
501,720575940607703307,14
502,720575940607725321,6
503,720575940607749077,27
504,720575940607755356,6
505,720575940607756636,0
506,720575940607761244,14
507,720575940607765257,5
508,720575940607774044,5
509,720575940607774850,0
510,720575940607775106,8
511,720575940607776725,19
512,720575940607780809,27
513,720575940607785308,1
514,720575940607790916,6
515,720575940607802123,3
516,720575940607805451,19
517,720575940607805707,6
518,720575940607808457,0
519,720575940607814492,0
520,720575940607828658,0
521,720575940607831509,0
522,720575940607848661,0
523,720575940607852745,9
524,720575940607854684,8
525,720575940607854793,4
526,720575940607859139,9
527,720575940607865436,4
528,720575940607877641,28
529,720575940607879691,8
530,720575940607880578,2
531,720575940607880713,26
532,720575940607883275,19
533,720575940607889244,26
534,720575940607890377,1
535,720575940607892491,6
536,720575940607893193,5
537,720575940607894985,0
538,720575940607896009,2
539,720575940607899913,2
540,720575940607907541,22
541,720575940607907849,7
542,720575940607908107,4
543,720575940607912917,11
544,720575940607919113,0
545,720575940607944260,17
546,720575940607948811,6
547,720575940607949781,11
548,720575940607963147,2
549,720575940607967241,13
550,720575940607968523,10
551,720575940607971337,4
552,720575940607982345,14
553,720575940607982428,5
554,720575940607983627,9
555,720575940607986953,28
556,720575940607988745,0
557,720575940607991819,4
558,720575940608002827,6
559,720575940608006578,1
560,720575940608015627,0
561,720575940608017026,9
562,720575940608027915,7
563,720575940608028740,5
564,720575940608029707,1
565,720575940608042076,8
566,720575940608042332,26
567,720575940608059484,7
568,720575940608083780,16
569,720575940608089522,13
570,720575940608098261,4
571,720575940608118283,13
572,720575940608119682,5
573,720575940608120587,8
574,720575940608122754,21
575,720575940608126338,13
576,720575940608135637,19
577,720575940608140380,3
578,720575940608144732,3
579,720575940608145026,4
580,720575940608152668,7
581,720575940608161116,1
582,720575940608174894,1
583,720575940608176258,11
584,720575940608190532,2
585,720575940608191836,1
586,720575940608192009,27
587,720575940608193884,21
588,720575940608198101,1
589,720575940608207317,0
590,720575940608211467,5
591,720575940608212804,27
592,720575940608215817,5
593,720575940608216132,3
594,720575940608223701,5
595,720575940608227118,1
596,720575940608232772,0
597,720575940608235529,0
598,720575940608237013,0
599,720575940608237835,0
600,720575940608239627,4
601,720575940608268636,17
602,720575940608281412,8
603,720575940608285570,1
604,720575940608287497,1
605,720575940608288092,1
606,720575940608293129,1
607,720575940608312533,1
608,720575940608312924,2
609,720575940608322994,3
610,720575940608327298,18
611,720575940608331650,29
612,720575940608332674,4
613,720575940608334002,1
614,720575940608335299,9
615,720575940608335746,22
616,720575940608336514,23
617,720575940608339139,11
618,720575940608339209,3
619,720575940608342706,10
620,720575940608343305,5
621,720575940608343620,9
622,720575940608353714,1
623,720575940608359298,1
624,720575940608360203,0
625,720575940608366770,5
626,720575940608367746,0
627,720575940608368562,8
628,720575940608370012,12
629,720575940608371586,0
630,720575940608375342,19
631,720575940608377390,13
632,720575940608390446,4
633,720575940608400323,3
634,720575940608402500,3
635,720575940608402524,3
636,720575940608405515,5
637,720575940608409355,1
638,720575940608413193,1
639,720575940608431625,18
640,720575940608433091,21
641,720575940608435246,29
642,720575940608462684,0
643,720575940608471900,11
644,720575940608494531,8
645,720575940608509451,0
646,720575940608526089,25
647,720575940608529710,10
648,720575940608541891,0
649,720575940608545219,20
650,720575940608557323,11
651,720575940608559172,21
652,720575940608573193,1
653,720575940608589323,0
654,720575940608593347,1
655,720575940608601355,7
656,720575940608605705,7
657,720575940608606933,12
658,720575940608616131,6
659,720575940608617923,8
660,720575940608620227,11
661,720575940608631342,1
662,720575940608642773,1
663,720575940608646665,2
664,720575940608658627,13
665,720575940608660489,3
666,720575940608662318,14
667,720575940608688942,1
668,720575940608694062,8
669,720575940608698633,1
670,720575940608716809,12
671,720575940608745006,3
672,720575940608755042,17
673,720575940608760110,2
674,720575940608763512,1
675,720575940608765141,1
676,720575940608766933,12
677,720575940608770313,2
678,720575940608785365,5
679,720575940608788088,2
680,720575940608793795,1
681,720575940608799556,0
682,720575940608809006,26
683,720575940608819780,7
684,720575940608822226,1
685,720575940608824530,26
686,720575940608877266,1
687,720575940608891075,3
688,720575940608894812,9
689,720575940608898005,1
690,720575940608908100,3
691,720575940608911662,8
692,720575940608929749,1
693,720575940608931396,15
694,720575940608932306,6
695,720575940608932803,7
696,720575940608956258,21
697,720575940608972612,5
698,720575940608985208,0
699,720575940608989909,14
700,720575940609004920,5
701,720575940609010524,18
702,720575940609014370,8
703,720575940609015876,7
704,720575940609022674,0
705,720575940609028164,0
706,720575940609032824,17
707,720575940609060420,0
708,720575940609073347,8
709,720575940609082180,1
710,720575940609084718,17
711,720575940609088978,1
712,720575940609097429,6
713,720575940609102531,0
714,720575940609123396,18
715,720575940609124814,3
716,720575940609132642,0
717,720575940609133269,2
718,720575940609137500,2
719,720575940609146563,9
720,720575940609162820,8
721,720575940609168732,26
722,720575940609169762,0
723,720575940609184046,12
724,720575940609191177,7
725,720575940609194082,20
726,720575940609228245,1
727,720575940609257739,1
728,720575940609258850,24
729,720575940609261892,1
730,720575940609263625,6
731,720575940609284728,5
732,720575940609294286,2
733,720575940609316050,4
734,720575940609321938,2
735,720575940609323844,6
736,720575940609329102,7
737,720575940609330033,10
738,720575940609335644,1
739,720575940609340355,8
740,720575940609340785,5
741,720575940609341809,5
742,720575940609342020,1
743,720575940609343089,5
744,720575940609347523,1
745,720575940609347595,4
746,720575940609347682,4
747,720575940609349188,27
748,720575940609365828,17
749,720575940609366648,4
750,720575940609368132,0
751,720575940609370232,31
752,720575940609375580,6
753,720575940609376707,2
754,720575940609377348,4
755,720575940609380728,6
756,720575940609381897,0
757,720575940609387100,18
758,720575940609387356,0
759,720575940609392738,3
760,720575940609393506,19
761,720575940609395780,12
762,720575940609419106,12
763,720575940609459662,2
764,720575940609462626,4
765,720575940609474766,9
766,720575940609476873,10
767,720575940609482190,3
768,720575940609488942,13
769,720575940609488964,2
770,720575940609499086,2
771,720575940609503074,3
772,720575940609504210,1
773,720575940609508654,0
774,720575940609513225,2
775,720575940609533394,12
776,720575940609550946,0
777,720575940609553476,5
778,720575940609555922,1
779,720575940609567586,20
780,720575940609567842,10
781,720575940609569219,10
782,720575940609570258,7
